Complaint_ID,Date_Received,Season,Site_ID,Approx_Latitude,Approx_Longitude,Category,Description,Investigation_Status,Outcome,Officer,Created_By,Created_Date
CMP-00001,2024-04-27,2023-24,ST-006,-32.16375,115.87005,Swarming/adult numbers,Resident-reported mosquito nuisance (sample description).,Closed,Referred to property owner,S. O'Connell,data_generator,2024-04-27
CMP-00002,2024-02-20,2023-24,ST-002,-31.61706,116.13503,General enquiry,Resident-reported mosquito nuisance (sample description).,Closed,Referred to property owner,K. Wallace,data_generator,2024-02-20
CMP-00003,2023-11-06,2023-24,,-31.99115,115.56629,Suspected breeding site,Resident-reported mosquito nuisance (sample description).,Under Investigation,Inspection scheduled,J. Nguyen,data_generator,2023-11-06
CMP-00004,2023-10-10,2023-24,ST-003,-32.04044,116.28409,Suspected breeding site,Resident-reported mosquito nuisance (sample description).,Received,Inspection scheduled,S. O'Connell,data_generator,2023-10-10
CMP-00005,2023-12-13,2023-24,ST-006,-32.16375,115.87005,Swarming/adult numbers,Resident-reported mosquito nuisance (sample description).,Closed,Referred to property owner,J. Nguyen,data_generator,2023-12-13
CMP-00006,2023-10-17,2023-24,,-32.14336,115.51711,Standing water on property,Resident-reported mosquito nuisance (sample description).,Site Inspected,Inspection scheduled,J. Nguyen,data_generator,2023-10-17
CMP-00007,2023-11-07,2023-24,,-32.00716,115.50552,Biting nuisance,Resident-reported mosquito nuisance (sample description).,Closed,Breeding site identified and treated,K. Wallace,data_generator,2023-11-07
CMP-00008,2024-01-07,2023-24,ST-006,-32.16375,115.87005,Biting nuisance,Resident-reported mosquito nuisance (sample description).,Closed,Referred to property owner,T. Singh,data_generator,2024-01-07
CMP-00009,2024-01-28,2023-24,ST-004,,,Suspected breeding site,Resident-reported mosquito nuisance (sample description).,Under Investigation,Inspection scheduled,T. Singh,data_generator,2024-01-28
CMP-00010,2024-03-01,2023-24,,-32.13508,115.70209,Standing water on property,Resident-reported mosquito nuisance (sample description).,Closed,Breeding site identified and treated,T. Singh,data_generator,2024-03-01
CMP-00011,2024-01-25,2023-24,,-32.12579,116.0017,Biting nuisance,Resident-reported mosquito nuisance (sample description).,Closed,No breeding found,J. Nguyen,data_generator,2024-01-25
CMP-00012,2023-12-05,2023-24,,-32.19036,115.62588,General enquiry,Resident-reported mosquito nuisance (sample description).,Closed,Referred to property owner,S. O'Connell,data_generator,2023-12-05
CMP-00013,2024-01-05,2023-24,ST-003,-32.04044,116.28409,Suspected breeding site,Resident-reported mosquito nuisance (sample description).,Closed,Referred to property owner,K. Wallace,data_generator,2024-01-05
CMP-00014,2024-01-16,2023-24,ST-006,-32.16375,115.87005,Biting nuisance,Resident-reported mosquito nuisance (sample description).,Closed,Referred to property owner,S. O'Connell,data_generator,2024-01-16
CMP-00015,2024-03-11,2023-24,ST-001,-31.75823,115.84499,Biting nuisance,Resident-reported mosquito nuisance (sample description).,Closed,Breeding site identified and treated,M. Ahmed,data_generator,2024-03-11
CMP-00016,2023-12-09,2023-24,ST-002,-31.61706,116.13503,Biting nuisance,Resident-reported mosquito nuisance (sample description).,Received,Inspection scheduled,R. Patel,data_generator,2023-12-09
CMP-00017,2024-03-01,2023-24,ST-021,-31.66399,116.07974,Swarming/adult numbers,Resident-reported mosquito nuisance (sample description).,Under Investigation,Inspection scheduled,J. Nguyen,data_generator,2024-03-01
CMP-00018,2024-01-16,2023-24,,-31.94317,115.77554,Swarming/adult numbers,Resident-reported mosquito nuisance (sample description).,Closed,Breeding site identified and treated,S. O'Connell,data_generator,2024-01-16
CMP-00019,2023-12-21,2023-24,ST-009,-31.99399,116.19941,Biting nuisance,Resident-reported mosquito nuisance (sample description).,Site Inspected,Inspection scheduled,M. Ahmed,data_generator,2023-12-21
