Env_ID,Date,Site_ID,Rainfall_mm,Temp_Min_C,Temp_Max_C,Tidal_Level_m,Notes
ENV-00001,2023-10-01,,0.0,13.1,21.9,0.76,
ENV-00002,2023-10-02,,0.0,12.6,21.5,1.06,
ENV-00003,2023-10-03,,0.0,14.1,21.3,1.3,
ENV-00004,2023-10-04,,0.0,18.0,25.1,1.37,
ENV-00005,2023-10-05,,0.0,14.5,23.1,1.4,
ENV-00006,2023-10-06,,0.0,19.4,27.8,1.25,
ENV-00007,2023-10-07,,0.0,10.8,20.0,1.02,
ENV-00008,2023-10-08,,0.0,14.8,21.7,0.75,
ENV-00009,2023-10-09,,0.0,14.6,22.1,0.53,
ENV-00010,2023-10-10,,1.1,12.0,19.8,0.28,
ENV-00011,2023-10-11,,0.0,20.7,27.2,0.23,
ENV-00012,2023-10-12,,5.2,19.9,27.1,0.24,
ENV-00013,2023-10-13,,0.0,16.4,23.0,0.32,
ENV-00014,2023-10-14,,0.0,18.2,24.4,0.59,
ENV-00015,2023-10-15,,0.0,17.1,24.4,0.8,
ENV-00016,2023-10-16,,0.0,16.6,22.8,1.16,
ENV-00017,2023-10-17,,0.0,19.9,27.5,1.28,
ENV-00018,2023-10-18,,4.4,13.0,22.3,1.3,
ENV-00019,2023-10-19,,0.0,16.9,26.5,1.36,
ENV-00020,2023-10-20,,0.0,16.8,25.3,1.26,
ENV-00021,2023-10-21,,0.0,16.4,24.4,0.93,
ENV-00022,2023-10-22,,0.0,16.1,24.6,0.71,
ENV-00023,2023-10-23,,0.0,19.0,25.9,0.58,
ENV-00024,2023-10-24,,0.0,17.2,24.7,0.31,
ENV-00025,2023-10-25,,0.0,18.4,28.1,0.27,
ENV-00026,2023-10-26,,0.0,17.1,26.5,0.26,
ENV-00027,2023-10-27,,1.6,16.7,25.2,0.27,
ENV-00028,2023-10-28,,1.2,18.1,27.5,0.58,
ENV-00029,2023-10-29,,0.0,23.4,29.7,0.8,
ENV-00030,2023-10-30,,0.0,14.7,23.9,1.09,
ENV-00031,2023-10-31,,4.5,15.2,24.9,1.24,
ENV-00032,2023-11-01,,0.0,18.8,27.1,1.27,
ENV-00033,2023-11-02,,0.0,18.2,27.2,1.47,
ENV-00034,2023-11-03,,0.1,12.9,22.6,1.34,
ENV-00035,2023-11-04,,0.0,19.9,27.6,1.1,
ENV-00036,2023-11-05,,0.0,19.5,29.1,0.81,
ENV-00037,2023-11-06,,0.0,18.1,25.4,0.59,
ENV-00038,2023-11-07,,0.0,17.6,25.1,0.29,
ENV-00039,2023-11-08,,0.0,16.6,25.7,0.22,
ENV-00040,2023-11-09,,0.0,21.3,30.2,0.24,
ENV-00041,2023-11-10,,1.4,23.7,32.3,0.31,
ENV-00042,2023-11-11,,0.0,20.2,28.0,0.48,
ENV-00043,2023-11-12,,0.0,16.9,24.7,0.83,
ENV-00044,2023-11-13,,0.0,22.1,28.6,1.06,
ENV-00045,2023-11-14,,2.6,17.8,27.2,1.31,
ENV-00046,2023-11-15,,0.2,22.6,28.7,1.39,
ENV-00047,2023-11-16,,0.0,20.3,30.0,1.37,
ENV-00048,2023-11-17,,0.0,22.0,28.2,1.2,
ENV-00049,2023-11-18,,2.1,16.2,25.6,1.05,
ENV-00050,2023-11-19,,0.0,20.3,29.1,0.8,
ENV-00051,2023-11-20,,0.0,23.0,31.5,0.51,
ENV-00052,2023-11-21,,0.0,19.2,25.9,0.42,
ENV-00053,2023-11-22,,0.0,20.0,26.3,0.24,
ENV-00054,2023-11-23,,0.0,20.0,28.9,0.19,
ENV-00055,2023-11-24,,0.0,19.3,27.1,0.32,
ENV-00056,2023-11-25,,0.0,23.4,30.0,0.52,
ENV-00057,2023-11-26,,0.0,17.7,26.5,0.86,
ENV-00058,2023-11-27,,0.0,22.3,30.3,1.16,
ENV-00059,2023-11-28,,0.0,27.2,33.8,1.23,
ENV-00060,2023-11-29,,0.0,21.9,30.4,1.34,
ENV-00061,2023-11-30,,0.0,18.3,26.6,1.36,
ENV-00062,2023-12-01,,0.0,21.4,29.3,1.29,
ENV-00063,2023-12-02,,0.0,20.6,29.2,1.09,
ENV-00064,2023-12-03,,0.0,21.2,29.4,0.8,
ENV-00065,2023-12-04,,0.0,27.3,35.4,0.54,
ENV-00066,2023-12-05,,0.0,23.4,31.4,0.29,
ENV-00067,2023-12-06,,0.0,21.9,31.2,0.25,
ENV-00068,2023-12-07,,0.0,22.4,31.8,0.24,
ENV-00069,2023-12-08,,0.0,22.6,29.9,0.31,
ENV-00070,2023-12-09,,0.0,17.2,26.6,0.58,
ENV-00071,2023-12-10,,0.0,22.7,29.2,0.77,
