Site_ID,Site_Name,Site_Type,Latitude,Longitude,Status,Description,Notes,Created_By,Created_Date,Modified_By,Modified_Date
ST-001,Cooper's Wetland,Saltmarsh,-31.91923,115.85056,Active,Saltmarsh monitored for mosquito breeding and adult activity.,,data_generator,2022-01-03,data_generator,2022-01-03
ST-002,Egret Reserve,Urban Stormwater,-31.91278,115.86345,Active,Urban Stormwater monitored for mosquito breeding and adult activity.,,data_generator,2023-05-13,data_generator,2023-05-13
ST-003,Lower Reserve,Retention Basin,-31.93213,115.87007,Active,Retention Basin monitored for mosquito breeding and adult activity.,,data_generator,2021-09-16,data_generator,2021-09-16
ST-004,Heron Lagoon,Rural Drain,,,Active,Rural Drain monitored for mosquito breeding and adult activity.,,data_generator,2021-09-11,data_generator,2021-09-11
ST-005,Curlew Swamp,Retention Basin,-31.91974,115.84718,Inactive,Retention Basin monitored for mosquito breeding and adult activity.,,data_generator,2021-07-16,data_generator,2021-07-16
ST-006,Brolga Channel,Urban Stormwater,-31.93777,115.85167,Active,Urban Stormwater monitored for mosquito breeding and adult activity.,,data_generator,2023-04-20,data_generator,2023-04-20
ST-007,Northgate Reserve,Parkland Lake,-31.92017,115.8717,Active,Parkland Lake monitored for mosquito breeding and adult activity.,,data_generator,2022-10-14,data_generator,2022-10-14
ST-008,Lower Channel,Tidal Drain,-31.93794,115.8382,Active,Tidal Drain monitored for mosquito breeding and adult activity.,,data_generator,2023-02-16,data_generator,2023-02-16
ST-009,Mangrove Swamp,Saltmarsh,-31.93001,115.86631,Active,Saltmarsh monitored for mosquito breeding and adult activity.,,data_generator,2022-12-04,data_generator,2022-12-04
ST-010,Old Ferry Wetland,Freshwater Wetland,-31.91825,115.8485,Active,Freshwater Wetland monitored for mosquito breeding and adult activity.,,data_generator,2022-01-16,data_generator,2022-01-16
ST-011,Claypan Channel,Rural Drain,-31.9376,115.83329,Active,Rural Drain monitored for mosquito breeding and adult activity.,,data_generator,2022-01-31,data_generator,2022-01-31
ST-012,Tern Wetland,Saltmarsh,-31.91902,115.85136,Active,Saltmarsh monitored for mosquito breeding and adult activity.,,data_generator,2023-05-03,data_generator,2023-05-03
ST-013,Lower Lagoon,Saltmarsh,-31.92261,115.85184,Active,Saltmarsh monitored for mosquito breeding and adult activity.,,data_generator,2021-11-05,data_generator,2021-11-05
ST-014,Sandpiper Reserve,Urban Stormwater,-31.92629,115.85537,Active,Urban Stormwater monitored for mosquito breeding and adult activity.,,data_generator,2023-08-06,data_generator,2023-08-06
ST-015,Pelican Creek,Saltmarsh,-31.93713,115.84934,Active,Saltmarsh monitored for mosquito breeding and adult activity.,,data_generator,2023-02-10,data_generator,2023-02-10
ST-016,Sanctuary Swamp,Freshwater Wetland,-31.935,115.84474,Active,Freshwater Wetland monitored for mosquito breeding and adult activity.,,data_generator,2022-05-05,data_generator,2022-05-05
ST-017,Sandpiper Creek,Tidal Drain,-31.92274,115.84926,Active,Tidal Drain monitored for mosquito breeding and adult activity.,,data_generator,2023-04-09,data_generator,2023-04-09
ST-018,Fig Tree Marsh,Estuarine Fringe,-31.94112,115.86189,Active,Estuarine Fringe monitored for mosquito breeding and adult activity.,,data_generator,2023-04-14,data_generator,2023-04-14
ST-019,Tern Basin,Freshwater Wetland,-31.93913,115.86085,Active,Freshwater Wetland monitored for mosquito breeding and adult activity.,,data_generator,2022-10-05,data_generator,2022-10-05
ST-020,Sandpiper Inlet,Tidal Drain,-31.92383,115.84747,Active,Tidal Drain monitored for mosquito breeding and adult activity.,,data_generator,2023-05-22,data_generator,2023-05-22
ST-021,Heron Swamp,Rural Drain,-31.91493,115.86099,Active,Rural Drain monitored for mosquito breeding and adult activity.,,data_generator,2021-05-11,data_generator,2021-05-11
ST-022,Ibis Point,Saltmarsh,-31.92106,115.85097,Active,Saltmarsh monitored for mosquito breeding and adult activity.,,data_generator,2023-06-10,data_generator,2023-06-10
ST-023,Lower Drain,Rural Drain,-31.92942,115.84109,Active,Rural Drain monitored for mosquito breeding and adult activity.,,data_generator,2022-04-16,data_generator,2022-04-16
ST-024,Bluegum Lagoon,Estuarine Fringe,-31.91659,115.86334,Active,Estuarine Fringe monitored for mosquito breeding and adult activity.,,data_generator,2022-08-22,data_generator,2022-08-22
ST-025,Claisebrook Cove Foreshore (Swan River),Swan River Foreshore,-31.9522,115.8791,Active,"Swan River bank/foreshore at Claisebrook Cove - tidal, brackish estuarine fringe. Regular larvae dipping and larviciding location given its estuarine mosquito breeding habitat.","Real, named location (approximate coordinates for Claisebrook Cove) - sits just east of Vincent's Highgate/East Perth boundary; tracked because saltmarsh/estuarine species disperse well beyond the immediate riverbank.",data_generator,2023-10-01,data_generator,2023-10-01
