Event_ID,Trap_ID,Site_ID,Season,Deployment_DateTime,Retrieval_DateTime,Trap_Type,Trap_Status,Sample_Validity,Officer,Notes,Created_By,Created_Date
EVT-00001,TRP-001,ST-001,2023-24,2023-10-01 00:00,2023-10-03 00:00,Gravid Trap,Partial,Valid,K. Wallace,,data_generator,2023-10-03
EVT-00002,TRP-001,ST-001,2023-24,2023-10-08 00:00,2023-10-10 00:00,Gravid Trap,Missing,N/A,T. Singh,,data_generator,2023-10-10
EVT-00003,TRP-001,ST-001,2023-24,2023-10-15 00:00,2023-10-17 00:00,Gravid Trap,Successful,Valid,K. Wallace,,data_generator,2023-10-17
EVT-00004,TRP-001,ST-001,2023-24,2023-10-22 00:00,2023-10-24 00:00,Gravid Trap,Successful,Valid,J. Nguyen,,data_generator,2023-10-24
EVT-00005,TRP-001,ST-001,2023-24,2023-10-29 00:00,2023-10-31 00:00,Gravid Trap,Missing,N/A,J. Nguyen,,data_generator,2023-10-31
EVT-00006,TRP-001,ST-001,2023-24,2023-11-05 00:00,2023-11-07 00:00,Gravid Trap,Successful,Valid,S. O'Connell,,data_generator,2023-11-07
EVT-00007,TRP-001,ST-001,2023-24,2023-11-12 00:00,2023-11-14 00:00,Gravid Trap,Successful,Valid,K. Wallace,,data_generator,2023-11-14
EVT-00008,TRP-001,ST-001,2023-24,2023-11-19 00:00,2023-11-21 00:00,Gravid Trap,Successful,Valid,K. Wallace,,data_generator,2023-11-21
EVT-00009,TRP-001,ST-001,2023-24,2023-11-26 00:00,2023-11-28 00:00,Gravid Trap,Successful,Valid,K. Wallace,,data_generator,2023-11-28
EVT-00010,TRP-001,ST-001,2023-24,2023-12-03 00:00,2023-12-05 00:00,Gravid Trap,Successful,Valid,J. Nguyen,,data_generator,2023-12-05
EVT-00011,TRP-001,ST-001,2023-24,2023-12-10 00:00,2023-12-12 00:00,Gravid Trap,Successful,Valid,R. Patel,,data_generator,2023-12-12
EVT-00012,TRP-001,ST-001,2023-24,2023-12-17 00:00,2023-12-19 00:00,Gravid Trap,Successful,Valid,S. O'Connell,,data_generator,2023-12-19
EVT-00013,TRP-001,ST-001,2023-24,2023-12-24 00:00,2023-12-26 00:00,Gravid Trap,Successful,Valid,R. Patel,,data_generator,2023-12-26
EVT-00014,TRP-001,ST-001,2023-24,2023-12-31 00:00,2024-01-02 00:00,Gravid Trap,Successful,Valid,J. Nguyen,,data_generator,2024-01-02
EVT-00015,TRP-001,ST-001,2023-24,2024-01-07 00:00,2024-01-09 00:00,Gravid Trap,Partial,Valid,M. Ahmed,,data_generator,2024-01-09
EVT-00016,TRP-001,ST-001,2023-24,2024-01-14 00:00,2024-01-16 00:00,Gravid Trap,Successful,Valid,K. Wallace,,data_generator,2024-01-16
EVT-00017,TRP-001,ST-001,2023-24,2024-01-21 00:00,2024-01-23 00:00,Gravid Trap,Successful,Valid,J. Nguyen,,data_generator,2024-01-23
EVT-00018,TRP-001,ST-001,2023-24,2024-01-28 00:00,2024-01-30 00:00,Gravid Trap,Successful,Valid,M. Ahmed,,data_generator,2024-01-30
EVT-00019,TRP-001,ST-001,2023-24,2024-02-04 00:00,2024-02-06 00:00,Gravid Trap,Successful,Valid,S. O'Connell,,data_generator,2024-02-06
EVT-00020,TRP-001,ST-001,2023-24,2024-02-11 00:00,2024-02-13 00:00,Gravid Trap,Successful,Valid,S. O'Connell,,data_generator,2024-02-13
EVT-00021,TRP-001,ST-001,2023-24,2024-02-18 00:00,2024-02-20 00:00,Gravid Trap,Successful,Valid,M. Ahmed,,data_generator,2024-02-20
EVT-00022,TRP-001,ST-001,2023-24,2024-02-25 00:00,2024-02-27 00:00,Gravid Trap,Successful,Valid,R. Patel,,data_generator,2024-02-27
EVT-00023,TRP-001,ST-001,2023-24,2024-03-03 00:00,2024-03-05 00:00,Gravid Trap,Successful,Valid,R. Patel,,data_generator,2024-03-05
EVT-00024,TRP-001,ST-001,2023-24,2024-03-10 00:00,2024-03-12 00:00,Gravid Trap,Successful,Valid,M. Ahmed,,data_generator,2024-03-12
EVT-00025,TRP-001,ST-001,2023-24,2024-03-17 00:00,2024-03-19 00:00,Gravid Trap,Successful,Valid,K. Wallace,,data_generator,2024-03-19
EVT-00026,TRP-001,ST-001,2023-24,2024-03-24 00:00,2024-03-26 00:00,Gravid Trap,Successful,Valid,S. O'Connell,,data_generator,2024-03-26
EVT-00027,TRP-001,ST-001,2023-24,2024-03-31 00:00,2024-04-02 00:00,Gravid Trap,Successful,Valid,M. Ahmed,,data_generator,2024-04-02
EVT-00028,TRP-001,ST-001,2023-24,2024-04-07 00:00,2024-04-09 00:00,Gravid Trap,Successful,Valid,R. Patel,,data_generator,2024-04-09
EVT-00029,TRP-001,ST-001,2023-24,2024-04-14 00:00,2024-04-16 00:00,Gravid Trap,Successful,Valid,K. Wallace,,data_generator,2024-04-16
EVT-00030,TRP-001,ST-001,2023-24,2024-04-21 00:00,2024-04-23 00:00,Gravid Trap,Successful,Valid,T. Singh,,data_generator,2024-04-23
EVT-00031,TRP-002,ST-002,2023-24,2023-10-01 00:00,2023-10-03 00:00,BG-Sentinel,Successful,Valid,M. Ahmed,,data_generator,2023-10-03
EVT-00032,TRP-002,ST-002,2023-24,2023-10-08 00:00,2023-10-10 00:00,BG-Sentinel,Successful,Valid,J. Nguyen,,data_generator,2023-10-10
EVT-00033,TRP-002,ST-002,2023-24,2023-10-15 00:00,2023-10-17 00:00,BG-Sentinel,Successful,Valid,K. Wallace,,data_generator,2023-10-17
EVT-00034,TRP-002,ST-002,2023-24,2023-10-22 00:00,2023-10-24 00:00,BG-Sentinel,Successful,Valid,R. Patel,,data_generator,2023-10-24
EVT-00035,TRP-002,ST-002,2023-24,2023-10-29 00:00,2023-10-31 00:00,BG-Sentinel,Successful,Valid,J. Nguyen,,data_generator,2023-10-31
EVT-00036,TRP-002,ST-002,2023-24,2023-11-05 00:00,2023-11-07 00:00,BG-Sentinel,Successful,Valid,T. Singh,,data_generator,2023-11-07
EVT-00037,TRP-002,ST-002,2023-24,2023-11-12 00:00,2023-11-14 00:00,BG-Sentinel,Successful,Valid,R. Patel,,data_generator,2023-11-14
EVT-00038,TRP-002,ST-002,2023-24,2023-11-19 00:00,2023-11-21 00:00,BG-Sentinel,Successful,Valid,S. O'Connell,,data_generator,2023-11-21
EVT-00039,TRP-002,ST-002,2023-24,2023-11-26 00:00,2023-11-28 00:00,BG-Sentinel,Successful,Valid,M. Ahmed,,data_generator,2023-11-28
EVT-00040,TRP-002,ST-002,2023-24,2023-12-03 00:00,2023-12-05 00:00,BG-Sentinel,Missing,N/A,T. Singh,,data_generator,2023-12-05
EVT-00041,TRP-002,ST-002,2023-24,2023-12-10 00:00,2023-12-05 00:00,BG-Sentinel,Successful,Valid,S. O'Connell,,data_generator,2023-12-12
EVT-00042,TRP-002,ST-002,2023-24,2023-12-17 00:00,2023-12-19 00:00,BG-Sentinel,Successful,Valid,R. Patel,,data_generator,2023-12-19
