Result_ID,Event_ID,Species_Code,Number_Collected,Notes
RES-000001,EVT-00004,AEDVIG,1,
RES-000002,EVT-00005,AEDVIG,2,
RES-000003,EVT-00005,CULANN,1,
RES-000004,EVT-00006,AEDVIG,1,
RES-000005,EVT-00006,CULQUI,1,
RES-000006,EVT-00007,AEDVIG,6,
RES-000007,EVT-00007,CULANN,1,
RES-000008,EVT-00007,CULQUI,2,
RES-000009,EVT-00007,ANOANN,1,
RES-000010,EVT-00008,AEDVIG,4,
RES-000011,EVT-00008,AEDCAM,1,
RES-000012,EVT-00008,CULQUI,1,
RES-000013,EVT-00009,AEDNOT,2,
RES-000014,EVT-00009,AEDVIG,5,
RES-000015,EVT-00009,AEDCAM,1,
RES-000016,EVT-00009,CULQUI,2,
RES-000017,EVT-00010,AEDVIG,1,
RES-000018,EVT-00010,CULANN,2,
RES-000019,EVT-00011,AEDVIG,6,
RES-000020,EVT-00011,CULQUI,1,
RES-000021,EVT-00012,AEDNOT,1,
RES-000022,EVT-00012,AEDVIG,4,
RES-000023,EVT-00012,AEDCAM,2,
RES-000024,EVT-00012,CULANN,2,
RES-000025,EVT-00012,CULQUI,1,
RES-000026,EVT-00013,AEDNOT,1,
RES-000027,EVT-00013,AEDVIG,6,
RES-000028,EVT-00013,AEDCAM,2,
RES-000029,EVT-00013,CULANN,1,
RES-000030,EVT-00013,CULQUI,1,
RES-000031,EVT-00013,ANOANN,1,
RES-000032,EVT-00014,AEDNOT,1,
RES-000033,EVT-00014,AEDVIG,6,
RES-000034,EVT-00014,CULANN,1,
RES-000035,EVT-00015,AEDNOT,2,
RES-000036,EVT-00015,AEDVIG,5,
RES-000037,EVT-00015,CULANN,1,
RES-000038,EVT-00016,AEDVIG,3,
RES-000039,EVT-00016,CULQUI,1,
RES-000040,EVT-00016,ANOANN,1,
RES-000041,EVT-00017,AEDVIG,8,
RES-000042,EVT-00017,CULANN,2,
RES-000043,EVT-00017,CULQUI,2,
RES-000044,EVT-00017,ANOANN,1,
RES-000045,EVT-00018,AEDVIG,2,
RES-000046,EVT-00018,CULANN,2,
RES-000047,EVT-00018,ANOANN,1,
RES-000048,EVT-00019,AEDNOT,1,
RES-000049,EVT-00019,AEDVIG,4,
RES-000050,EVT-00019,CULANN,1,
RES-000051,EVT-00020,AEDVIG,-3,
RES-000052,EVT-00020,AEDCAM,1,
RES-000053,EVT-00021,AEDVIG,4,
RES-000054,EVT-00021,AEDCAM,1,
RES-000055,EVT-00021,CULANN,1,
RES-000056,EVT-00022,AEDVIG,3,
RES-000057,EVT-00022,CULANN,3,
RES-000058,EVT-00022,CULQUI,1,
RES-000059,EVT-00023,ANOANN,1,
RES-000060,EVT-00024,AEDVIG,7,
RES-000061,EVT-00024,AEDCAM,2,
RES-000062,EVT-00024,CULANN,2,
RES-000063,EVT-00025,AEDNOT,1,
RES-000064,EVT-00025,AEDVIG,2,
RES-000065,EVT-00025,AEDCAM,1,
RES-000066,EVT-00026,AEDCAM,1,
RES-000067,EVT-00027,AEDVIG,5,
